Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),index
66058,2015,7,23,3.0,1.0,203
66058,2015,7,24,0.0,1.0,204
66058,2015,7,25,0.0,1.0,205
66058,2015,7,26,0.0,1.0,206
66058,2015,7,27,0.0,1.0,207
66058,2015,7,28,0.0,1.0,208
66058,2015,7,29,0.0,1.0,209
66058,2015,7,30,0.0,1.0,210
66058,2015,7,31,0.0,1.0,211
66058,2015,8,1,0.0,1.0,212
66058,2015,8,2,0.0,1.0,213
66058,2015,8,3,0.0,1.0,214
66058,2015,8,4,0.0,1.0,215
66058,2015,8,5,0.0,1.0,216
66058,2015,8,6,0.0,1.0,217
66058,2015,8,7,0.0,1.0,218
66058,2015,8,8,0.0,1.0,219
66058,2015,8,9,0.0,1.0,220
66058,2015,8,10,0.0,1.0,221
66058,2015,8,11,0.0,1.0,222
66058,2015,8,12,0.0,1.0,223
66058,2015,8,13,1.0,1.0,224
66058,2015,8,14,0.0,1.0,225
66058,2015,8,15,0.0,1.0,226
66058,2015,8,16,0.0,1.0,227
66058,2015,8,17,0.0,1.0,228
66058,2015,8,18,0.0,1.0,229
66058,2015,8,19,0.0,1.0,230
66058,2015,8,20,0.0,1.0,231
66058,2015,8,21,0.0,1.0,232
66058,2015,8,22,0.0,1.0,233
66058,2015,8,23,3.0,1.0,234
66058,2015,8,24,6.0,1.0,235
66058,2015,8,25,31.0,1.0,236
66058,2015,8,26,7.0,1.0,237
66058,2015,8,27,1.0,1.0,238
66058,2015,8,28,0.0,1.0,239
66058,2015,8,29,0.0,1.0,240
66058,2015,8,30,0.0,1.0,241
66058,2015,8,31,0.0,1.0,242
66058,2015,9,1,0.0,1.0,243
66058,2015,9,2,0.0,1.0,244
66058,2015,9,3,2.0,1.0,245
66058,2015,9,4,6.0,1.0,246
66058,2015,9,5,0.0,1.0,247
66058,2015,9,6,1.0,1.0,248
66058,2015,9,7,4.0,1.0,249
66058,2015,9,8,0.0,1.0,250
66058,2015,9,9,0.0,1.0,251
66058,2015,9,10,0.0,1.0,252
66058,2015,9,11,0.0,1.0,253
66058,2015,9,12,0.0,1.0,254
66058,2015,9,13,0.0,1.0,255
66058,2015,9,14,0.0,1.0,256
66058,2015,9,15,0.0,1.0,257
66058,2015,9,16,0.0,1.0,258
66058,2015,9,17,0.0,1.0,259
66058,2015,9,18,8.0,1.0,260
66058,2015,9,19,8.0,1.0,261
66058,2015,9,20,0.0,1.0,262
66058,2015,9,21,0.0,1.0,263
66058,2015,9,22,0.0,1.0,264
66058,2015,9,23,0.0,1.0,265
66058,2015,9,24,3.0,1.0,266
66058,2015,9,25,10.0,1.0,267
66058,2015,9,26,2.0,1.0,268
66058,2015,9,27,1.0,1.0,269
66058,2015,9,28,0.0,1.0,270
66058,2015,9,29,0.0,1.0,271
66058,2015,9,30,0.0,1.0,272
66058,2015,10,1,0.0,1.0,273
66058,2015,10,2,0.0,1.0,274
66058,2015,10,3,0.0,1.0,275
66058,2015,10,4,0.0,1.0,276
66058,2015,10,5,0.0,1.0,277
66058,2015,10,6,0.0,1.0,278
66058,2015,10,7,0.0,1.0,279
66058,2015,10,8,0.0,1.0,280
66058,2015,10,9,0.0,1.0,281
66058,2015,10,10,0.0,1.0,282
66058,2015,10,11,0.0,1.0,283
66058,2015,10,12,2.0,1.0,284
66058,2015,10,13,4.0,1.0,285
66058,2015,10,14,10.0,1.0,286
66058,2015,10,15,0.0,1.0,287
66058,2015,10,16,0.0,1.0,288
66058,2015,10,17,0.0,1.0,289
66058,2015,10,18,0.0,1.0,290
66058,2015,10,19,1.0,1.0,291
66058,2015,10,20,0.0,1.0,292
66058,2015,10,21,7.0,1.0,293
66058,2015,10,22,3.0,1.0,294
66058,2015,10,23,4.0,1.0,295
66058,2015,10,24,0.0,1.0,296
66058,2015,10,25,0.0,1.0,297
66058,2015,10,26,0.0,1.0,298
66058,2015,10,27,4.0,1.0,299
66058,2015,10,28,0.0,1.0,300
66058,2015,10,29,0.0,1.0,301
66058,2015,10,30,0.0,1.0,302
66058,2015,10,31,0.0,1.0,303
66058,2015,11,1,0.0,1.0,304
66058,2015,11,2,8.0,1.0,305
66058,2015,11,3,0.0,1.0,306
66058,2015,11,4,1.0,1.0,307
66058,2015,11,5,7.0,1.0,308
66058,2015,11,6,12.0,1.0,309
66058,2015,11,7,5.0,1.0,310
66058,2015,11,8,0.0,1.0,311
66058,2015,11,9,0.0,1.0,312
