Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality_Y
66011,1952,3,1,0.0,,True
66011,1952,3,2,0.0,,True
66011,1952,3,3,5.6,1.0,True
66011,1952,3,4,6.4,1.0,True
66011,1952,3,5,0.0,,True
66011,1952,3,6,0.0,,True
66011,1952,3,7,1.3,1.0,True
66011,1952,3,8,23.6,1.0,True
66011,1952,3,9,0.0,,True
66011,1952,3,10,0.0,,True
66011,1952,3,11,0.0,,True
66011,1952,3,12,0.0,,True
66011,1952,3,13,0.5,1.0,True
66011,1952,3,14,0.0,,True
66011,1952,3,15,10.2,1.0,True
66011,1952,3,16,0.0,,True
66011,1952,3,17,0.0,,True
66011,1952,3,18,1.0,1.0,True
66011,1952,3,19,0.0,,True
66011,1952,3,20,0.0,,True
66011,1952,3,21,14.5,1.0,True
66011,1952,3,22,5.8,1.0,True
66011,1952,3,23,71.9,1.0,True
66011,1952,3,24,0.0,,True
66011,1952,3,25,0.0,,True
66011,1952,3,26,0.0,,True
66011,1952,3,27,0.0,,True
66011,1952,3,28,0.0,,True
66011,1952,3,29,0.0,,True
66011,1952,3,30,0.0,,True
66011,1952,3,31,0.0,,True
66011,1952,4,1,0.0,,True
66011,1952,4,2,1.5,1.0,True
66011,1952,4,3,8.4,1.0,True
66011,1952,4,4,24.4,1.0,True
66011,1952,4,5,0.0,,True
66011,1952,4,6,0.0,,True
66011,1952,4,7,0.0,,True
66011,1952,4,8,0.0,,True
66011,1952,4,9,0.0,,True
66011,1952,4,10,67.1,1.0,True
66011,1952,4,11,33.5,1.0,True
66011,1952,4,12,0.0,,True
66011,1952,4,13,24.6,1.0,True
66011,1952,4,14,34.5,1.0,True
66011,1952,4,15,0.0,,True
66011,1952,4,16,0.0,,True
66011,1952,4,17,0.0,,True
66011,1952,4,18,0.0,,True
66011,1952,4,19,0.0,,True
66011,1952,4,20,0.0,,True
66011,1952,4,21,16.0,1.0,True
66011,1952,4,23,24.1,2.0,True
66011,1952,4,24,0.5,1.0,True
66011,1952,4,25,0.0,,True
66011,1952,4,26,47.0,1.0,True
66011,1952,4,27,20.6,1.0,True
66011,1952,4,28,0.0,,True
66011,1952,4,29,0.0,,True
66011,1952,4,30,0.0,,True
66011,1952,5,1,0.0,,True
66011,1952,5,2,0.0,,True
66011,1952,5,3,0.0,,True
66011,1952,5,4,0.0,,True
66011,1952,5,5,0.0,,True
66011,1952,5,6,0.0,,True
66011,1952,5,7,0.0,,True
66011,1952,5,8,0.0,,True
66011,1952,5,9,1.3,1.0,True
66011,1952,5,10,6.6,1.0,True
66011,1952,5,11,6.1,1.0,True
66011,1952,5,12,8.9,1.0,True
66011,1952,5,14,24.1,2.0,True
66011,1952,5,15,0.0,,True
66011,1952,5,16,1.3,1.0,True
66011,1952,5,17,2.0,1.0,True
66011,1952,5,18,0.0,,True
66011,1952,5,19,0.0,,True
66011,1952,5,20,0.0,,True
66011,1952,5,21,0.0,,True
66011,1952,5,22,0.0,,True
66011,1952,5,23,0.0,,True
66011,1952,5,24,3.0,1.0,True
66011,1952,5,25,0.0,,True
66011,1952,5,26,3.3,1.0,True
66011,1952,5,27,0.0,,True
66011,1952,5,28,0.0,,True
66011,1952,5,29,0.0,,True
66011,1952,5,30,0.0,,True
66011,1952,5,31,0.3,1.0,True
66011,1952,6,1,0.8,1.0,True
66011,1952,6,2,0.5,1.0,True
66011,1952,6,3,3.3,1.0,True
66011,1952,6,4,0.0,,True
66011,1952,6,5,0.0,,True
66011,1952,6,6,0.0,,True
66011,1952,6,7,0.0,,True
66011,1952,6,8,0.0,,True
66011,1952,6,9,0.0,,True
66011,1952,6,10,0.0,,True
66011,1952,6,11,0.0,,True
66011,1952,6,12,0.0,,True
66011,1952,6,13,0.5,1.0,True
66011,1952,6,14,30.0,1.0,True
66011,1952,6,15,131.6,1.0,True
66011,1952,6,16,24.9,1.0,True
66011,1952,6,17,0.0,,True
66011,1952,6,18,0.0,,True
66011,1952,6,19,0.3,1.0,True
66011,1952,6,20,0.0,,True
66011,1952,6,21,0.0,,True
66011,1952,6,22,0.0,,True
66011,1952,6,23,0.0,,True
66011,1952,6,24,0.0,,True
66011,1952,6,25,0.0,,True
66011,1952,6,26,0.0,,True
66011,1952,6,27,0.0,,True
66011,1952,6,28,0.0,,True
66011,1952,6,29,0.0,,True
66011,1952,6,30,0.0,,True
66011,1952,7,1,0.0,,True
66011,1952,7,2,0.0,,True
66011,1952,7,3,0.0,,True
66011,1952,7,4,0.0,,True
66011,1952,7,5,0.0,,True
66011,1952,7,6,0.0,,True
66011,1952,7,7,0.0,,True
66011,1952,7,8,0.0,,True
66011,1952,7,9,0.0,,True
66011,1952,7,10,0.0,,True
66011,1952,7,11,0.0,,True
66011,1952,7,12,0.0,,True
66011,1952,7,13,1.3,1.0,True
66011,1952,7,14,0.0,,True
66011,1952,7,15,0.0,,True
66011,1952,7,16,0.0,,True
66011,1952,7,17,1.8,1.0,True
66011,1952,7,18,0.0,,True
66011,1952,7,19,0.0,,True
66011,1952,7,20,0.0,,True
66011,1952,7,21,0.8,1.0,True
66011,1952,7,22,0.0,,True
66011,1952,7,23,0.0,,True
66011,1952,7,24,2.8,1.0,True
66011,1952,7,25,18.5,1.0,True
66011,1952,7,26,109.0,1.0,True
66011,1952,7,28,113.3,2.0,True
66011,1952,7,29,0.0,,True
66011,1952,7,30,3.3,1.0,True
66011,1952,7,31,0.3,1.0,True
66011,1952,8,1,31.0,1.0,True
66011,1952,8,2,0.5,1.0,True
66011,1952,8,3,0.8,1.0,True
66011,1952,8,4,11.2,1.0,True
66011,1952,8,5,65.5,1.0,True
66011,1952,8,6,52.6,1.0,True
66011,1952,8,7,14.7,1.0,True
66011,1952,8,8,8.1,1.0,True
66011,1952,8,9,0.0,,True
66011,1952,8,10,0.0,,True
66011,1952,8,11,0.0,,True
66011,1952,8,12,0.0,,True
66011,1952,8,13,44.2,1.0,True
66011,1952,8,14,16.5,1.0,True
66011,1952,8,15,3.0,1.0,True
66011,1952,8,16,0.0,,True
66011,1952,8,17,0.0,,True
66011,1952,8,18,0.0,,True
66011,1952,8,19,0.0,,True
66011,1952,8,20,5.1,1.0,True
66011,1952,8,21,0.0,,True
66011,1952,8,22,0.0,,True
66011,1952,8,23,0.0,,True
66011,1952,8,24,0.0,,True
66011,1952,8,25,0.5,1.0,True
66011,1952,8,26,0.0,,True
66011,1952,8,27,0.0,,True
66011,1952,8,28,0.0,,True
66011,1952,8,29,0.0,,True
66011,1952,8,30,0.0,,True
66011,1952,8,31,0.5,1.0,True
66011,1952,9,1,0.0,,True
66011,1952,9,2,0.0,,True
66011,1952,9,3,0.0,,True
66011,1952,9,4,0.0,,True
66011,1952,9,5,0.0,,True
66011,1952,9,6,0.0,,True
66011,1952,9,7,0.0,,True
66011,1952,9,8,0.0,,True
66011,1952,9,9,0.0,,True
66011,1952,9,10,0.0,,True
66011,1952,9,11,0.0,,True
66011,1952,9,12,6.9,1.0,True
66011,1952,9,13,0.0,,True
66011,1952,9,14,0.0,,True
66011,1952,9,15,0.0,,True
66011,1952,9,16,0.0,,True
66011,1952,9,17,7.1,1.0,True
66011,1952,9,18,0.0,,True
66011,1952,9,19,0.0,,True
66011,1952,9,20,1.3,1.0,True
66011,1952,9,21,0.0,,True
66011,1952,9,22,0.0,,True
66011,1952,9,23,0.0,,True
66011,1952,9,24,0.0,,True
66011,1952,9,25,14.2,1.0,True
66011,1952,9,26,2.5,1.0,True
66011,1952,9,27,0.0,,True
66011,1952,9,28,0.0,,True
66011,1952,9,29,0.0,,True
66011,1952,9,30,0.0,,True
66011,1952,10,1,0.0,,True
66011,1952,10,2,0.0,,True
66011,1952,10,3,0.0,,True
66011,1952,10,4,0.0,,True
66011,1952,10,5,0.0,,True
66011,1952,10,6,35.6,1.0,True
66011,1952,10,7,0.0,,True
66011,1952,10,8,16.3,1.0,True
66011,1952,10,9,0.0,,True
66011,1952,10,10,0.0,,True
66011,1952,10,11,0.0,,True
66011,1952,10,12,0.0,,True
66011,1952,10,13,2.8,1.0,True
66011,1952,10,14,0.0,,True
66011,1952,10,15,0.0,,True
66011,1952,10,16,0.0,,True
66011,1952,10,17,0.0,,True
66011,1952,10,18,0.0,,True
66011,1952,10,19,0.0,,True
66011,1952,10,20,0.0,,True
66011,1952,10,21,0.0,,True
66011,1952,10,22,0.0,,True
66011,1952,10,23,46.7,1.0,True
66011,1952,10,24,8.4,1.0,True
66011,1952,10,25,3.0,1.0,True
66011,1952,10,26,2.3,1.0,True
66011,1952,10,27,25.4,1.0,True
66011,1952,10,28,0.0,,True
66011,1952,10,29,0.0,,True
66011,1952,10,30,0.0,,True
66011,1952,10,31,0.0,,True
66011,1952,11,1,0.0,,True
66011,1952,11,2,0.0,,True
66011,1952,11,3,0.0,,True
