Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,index,Quality_Y
66124,2015,7,7,4.3,1.0,187,True
66124,2015,7,8,5.3,1.0,188,True
66124,2015,7,9,4.2,1.0,189,True
66124,2015,7,10,4.0,1.0,190,True
66124,2015,7,11,3.8,1.0,191,True
66124,2015,7,12,5.8,1.0,192,True
66124,2015,7,13,6.2,1.0,193,True
66124,2015,7,14,7.8,1.0,194,True
66124,2015,7,15,3.5,1.0,195,True
66124,2015,7,16,6.2,1.0,196,True
66124,2015,7,17,5.2,1.0,197,True
66124,2015,7,18,4.3,1.0,198,True
66124,2015,7,19,5.8,1.0,199,True
66124,2015,7,20,5.3,1.0,200,True
66124,2015,7,21,4.4,1.0,201,True
66124,2015,7,22,7.0,1.0,202,True
66124,2015,7,23,9.7,1.0,203,True
66124,2015,7,24,9.3,1.0,204,True
66124,2015,7,25,9.3,1.0,205,True
66124,2015,7,26,9.7,1.0,206,True
66124,2015,7,27,3.5,1.0,207,True
66124,2015,7,28,3.0,1.0,208,True
66124,2015,7,29,4.3,1.0,209,True
66124,2015,7,30,4.6,1.0,210,True
66124,2015,7,31,10.2,1.0,211,True
66124,2015,8,1,5.4,1.0,212,True
66124,2015,8,2,9.2,1.0,213,True
66124,2015,8,3,5.7,1.0,214,True
66124,2015,8,4,3.8,1.0,215,True
66124,2015,8,5,2.7,1.0,216,True
66124,2015,8,6,4.4,1.0,217,True
66124,2015,8,7,2.2,1.0,218,True
66124,2015,8,8,5.0,1.0,219,True
66124,2015,8,9,3.5,1.0,220,True
66124,2015,8,10,7.0,1.0,221,True
66124,2015,8,11,5.3,1.0,222,True
66124,2015,8,12,3.0,1.0,223,True
66124,2015,8,13,4.8,1.0,224,True
66124,2015,8,14,5.0,1.0,225,True
66124,2015,8,15,5.5,1.0,226,True
66124,2015,8,16,7.2,1.0,227,True
66124,2015,8,17,6.7,1.0,228,True
66124,2015,8,18,7.0,1.0,229,True
66124,2015,8,19,5.8,1.0,230,True
66124,2015,8,20,5.2,1.0,231,True
66124,2015,8,21,7.6,1.0,232,True
66124,2015,8,22,11.3,1.0,233,True
