Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),index
61381,2015,10,11,0.0,1.0,283
61381,2015,10,12,8.0,1.0,284
61381,2015,10,13,3.0,1.0,285
61381,2015,10,14,2.0,1.0,286
61381,2015,10,15,0.0,1.0,287
61381,2015,10,16,0.0,1.0,288
61381,2015,10,17,0.0,1.0,289
61381,2015,10,18,0.0,1.0,290
61381,2015,10,19,1.0,1.0,291
61381,2015,10,20,0.0,1.0,292
61381,2015,10,21,0.0,1.0,293
61381,2015,10,22,3.0,1.0,294
61381,2015,10,23,25.0,1.0,295
61381,2015,10,24,0.0,1.0,296
61381,2015,10,25,0.0,1.0,297
61381,2015,10,26,0.0,1.0,298
61381,2015,10,27,9.0,1.0,299
61381,2015,10,28,0.0,1.0,300
61381,2015,10,29,0.0,1.0,301
61381,2015,10,30,0.0,1.0,302
61381,2015,10,31,0.0,1.0,303
61381,2015,11,1,0.0,1.0,304
61381,2015,11,2,7.0,1.0,305
61381,2015,11,3,6.0,1.0,306
61381,2015,11,4,19.0,1.0,307
61381,2015,11,5,34.0,1.0,308
61381,2015,11,6,4.0,1.0,309
61381,2015,11,7,19.0,1.0,310
61381,2015,11,8,8.0,1.0,311
61381,2015,11,9,1.0,1.0,312
61381,2015,11,10,0.0,1.0,313
61381,2015,11,11,0.0,1.0,314
61381,2015,11,12,0.0,1.0,315
61381,2015,11,13,5.0,1.0,316
61381,2015,11,14,13.0,1.0,317
61381,2015,11,15,43.0,1.0,318
61381,2015,11,16,13.0,1.0,319
61381,2015,11,17,0.0,1.0,320
61381,2015,11,18,0.0,1.0,321
61381,2015,11,19,0.0,1.0,322
61381,2015,11,20,0.0,1.0,323
61381,2015,11,21,0.0,1.0,324
61381,2015,11,22,0.0,1.0,325
61381,2015,11,23,0.0,1.0,326
61381,2015,11,24,0.0,1.0,327
61381,2015,11,25,0.0,1.0,328
61381,2015,11,26,0.0,1.0,329
61381,2015,11,27,0.0,1.0,330
61381,2015,11,28,0.0,1.0,331
61381,2015,11,29,0.0,1.0,332
61381,2015,11,30,3.0,1.0,333
61381,2015,12,1,0.0,1.0,334
61381,2015,12,2,0.0,1.0,335
61381,2015,12,3,0.0,1.0,336
61381,2015,12,4,0.0,1.0,337
61381,2015,12,5,0.0,1.0,338
61381,2015,12,6,0.0,1.0,339
61381,2015,12,7,0.0,1.0,340
61381,2015,12,8,0.0,1.0,341
61381,2015,12,9,1.0,1.0,342
61381,2015,12,10,8.0,1.0,343
61381,2015,12,11,0.0,1.0,344
61381,2015,12,12,0.0,1.0,345
61381,2015,12,13,0.0,1.0,346
61381,2015,12,14,0.0,1.0,347
61381,2015,12,15,0.0,1.0,348
61381,2015,12,16,0.0,1.0,349
61381,2015,12,17,20.0,1.0,350
61381,2015,12,18,0.0,1.0,351
61381,2015,12,19,0.0,1.0,352
61381,2015,12,20,0.0,1.0,353
61381,2015,12,21,0.0,1.0,354
61381,2015,12,22,51.0,1.0,355
61381,2015,12,23,34.0,1.0,356
61381,2015,12,24,2.0,1.0,357
61381,2015,12,25,1.0,1.0,358
61381,2015,12,26,0.0,1.0,359
61381,2015,12,27,7.0,1.0,360
61381,2015,12,28,2.0,1.0,361
61381,2015,12,29,0.0,1.0,362
61381,2015,12,30,0.0,1.0,363
61381,2015,12,31,0.0,1.0,364
61381,2016,1,1,0.0,1.0,365
61381,2016,1,2,0.0,1.0,366
61381,2016,1,3,1.0,1.0,367
61381,2016,1,4,29.0,1.0,368
61381,2016,1,5,29.0,1.0,369
61381,2016,1,6,96.0,1.0,370
61381,2016,1,7,36.0,1.0,371
61381,2016,1,8,0.0,1.0,372
61381,2016,1,9,0.0,1.0,373
61381,2016,1,10,1.0,1.0,374
61381,2016,1,11,0.0,1.0,375
61381,2016,1,12,7.0,1.0,376
61381,2016,1,13,0.0,1.0,377
61381,2016,1,14,0.0,1.0,378
61381,2016,1,15,45.0,1.0,379
61381,2016,1,16,10.0,1.0,380
61381,2016,1,17,2.0,1.0,381
61381,2016,1,18,1.0,1.0,382
61381,2016,1,19,0.0,1.0,383
61381,2016,1,20,0.0,1.0,384
61381,2016,1,21,0.0,1.0,385
61381,2016,1,22,39.0,1.0,386
61381,2016,1,23,39.0,1.0,387
61381,2016,1,24,1.0,1.0,388
61381,2016,1,25,0.0,1.0,389
61381,2016,1,26,2.0,1.0,390
61381,2016,1,27,2.0,1.0,391
61381,2016,1,28,6.0,1.0,392
61381,2016,1,29,2.0,1.0,393
61381,2016,1,30,0.0,1.0,394
61381,2016,1,31,0.0,1.0,395
61381,2016,2,1,0.0,1.0,396
61381,2016,2,2,0.0,1.0,397
61381,2016,2,3,0.0,1.0,398
61381,2016,2,4,13.0,1.0,399
61381,2016,2,5,7.0,1.0,400
61381,2016,2,6,1.0,1.0,401
61381,2016,2,7,0.0,1.0,402
61381,2016,2,8,0.0,1.0,403
61381,2016,2,9,0.0,1.0,404
61381,2016,2,10,0.0,1.0,405
61381,2016,2,11,0.0,1.0,406
61381,2016,2,12,0.0,1.0,407
61381,2016,2,13,0.0,1.0,408
61381,2016,2,14,0.0,1.0,409
61381,2016,2,15,0.0,1.0,410
61381,2016,2,16,0.0,1.0,411
61381,2016,2,17,0.0,1.0,412
61381,2016,2,18,0.0,1.0,413
61381,2016,2,19,0.0,1.0,414
61381,2016,2,20,0.0,1.0,415
61381,2016,2,21,11.0,1.0,416
61381,2016,2,22,0.0,1.0,417
