Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),index,Quality_Y
66052,2015,11,11,0.4,1.0,314,True
66052,2015,11,12,5.0,1.0,315,True
66052,2015,11,13,0.8,1.0,316,True
66052,2015,11,14,18.2,1.0,317,True
66052,2015,11,15,39.8,1.0,318,True
66052,2015,11,16,2.6,1.0,319,True
66052,2015,11,17,0.0,,320,True
66052,2015,11,18,0.0,,321,True
66052,2015,11,19,0.0,,322,True
66052,2015,11,20,0.0,,323,True
66052,2015,11,21,0.0,,324,True
66052,2015,11,22,0.0,,325,True
66052,2015,11,23,0.0,,326,True
66052,2015,11,24,0.0,,327,True
66052,2015,11,25,0.0,,328,True
66052,2015,11,26,0.0,,329,True
66052,2015,11,27,0.4,1.0,330,True
66052,2015,11,28,0.0,,331,True
66052,2015,11,29,0.6,1.0,332,True
66052,2015,11,30,0.0,,333,True
66052,2015,12,1,0.0,,334,True
66052,2015,12,2,0.0,,335,True
66052,2015,12,3,0.0,,336,True
66052,2015,12,4,0.0,,337,True
66052,2015,12,5,0.0,,338,True
66052,2015,12,6,0.0,,339,True
66052,2015,12,7,0.0,,340,True
66052,2015,12,8,0.0,,341,True
66052,2015,12,9,1.6,1.0,342,True
66052,2015,12,10,5.8,1.0,343,True
66052,2015,12,11,0.2,1.0,344,True
66052,2015,12,12,0.0,,345,True
66052,2015,12,13,0.0,,346,True
66052,2015,12,14,0.0,,347,True
66052,2015,12,15,0.0,,348,True
66052,2015,12,16,1.4,1.0,349,True
66052,2015,12,17,58.0,1.0,350,True
66052,2015,12,18,0.0,,351,True
66052,2015,12,19,0.0,,352,True
66052,2015,12,20,0.0,,353,True
66052,2015,12,21,0.0,,354,True
66052,2015,12,22,30.0,1.0,355,True
66052,2015,12,23,31.8,1.0,356,True
66052,2015,12,24,0.4,1.0,357,True
66052,2015,12,25,0.0,,358,True
66052,2015,12,26,1.0,1.0,359,True
66052,2015,12,27,1.8,1.0,360,True
66052,2015,12,28,4.0,1.0,361,True
66052,2015,12,29,0.0,,362,True
66052,2015,12,30,0.0,,363,True
66052,2015,12,31,0.0,,364,True
66052,2016,1,1,0.0,,365,True
66052,2016,1,2,0.0,,366,True
66052,2016,1,3,0.0,,367,True
66052,2016,1,4,17.6,1.0,368,True
66052,2016,1,5,39.8,1.0,369,True
66052,2016,1,6,50.0,1.0,370,True
66052,2016,1,7,48.6,1.0,371,True
66052,2016,1,8,1.2,1.0,372,True
66052,2016,1,9,0.0,,373,True
66052,2016,1,10,0.0,,374,True
66052,2016,1,11,0.0,,375,True
66052,2016,1,12,0.0,,376,True
66052,2016,1,13,0.0,,377,True
66052,2016,1,14,0.0,,378,True
66052,2016,1,15,29.8,1.0,379,True
66052,2016,1,16,9.6,1.0,380,True
66052,2016,1,17,0.0,,381,True
66052,2016,1,18,0.0,,382,True
66052,2016,1,19,0.0,,383,True
66052,2016,1,20,0.0,,384,True
66052,2016,1,21,0.0,,385,True
66052,2016,1,22,32.8,1.0,386,True
66052,2016,1,23,12.8,1.0,387,True
66052,2016,1,24,1.8,1.0,388,True
66052,2016,1,25,0.0,,389,True
66052,2016,1,26,7.8,1.0,390,True
66052,2016,1,27,3.6,1.0,391,True
66052,2016,1,28,0.4,1.0,392,True
66052,2016,1,29,0.1,1.0,393,True
66052,2016,1,30,8.6,1.0,394,True
66052,2016,1,31,13.4,1.0,395,True
66052,2016,2,1,0.0,,396,True
66052,2016,2,2,1.4,1.0,397,True
66052,2016,2,3,0.0,,398,True
66052,2016,2,4,12.0,1.0,399,True
66052,2016,2,5,4.8,1.0,400,True
66052,2016,2,6,1.2,1.0,401,True
66052,2016,2,7,0.0,,402,True
66052,2016,2,8,0.0,,403,True
66052,2016,2,9,0.0,,404,True
66052,2016,2,10,0.0,,405,True
66052,2016,2,11,0.0,,406,True
66052,2016,2,12,0.0,,407,True
66052,2016,2,13,0.0,,408,True
66052,2016,2,14,0.0,,409,True
66052,2016,2,15,0.0,,410,True
66052,2016,2,16,0.0,,411,True
66052,2016,2,17,0.0,,412,True
66052,2016,2,18,0.0,,413,True
66052,2016,2,19,0.0,,414,True
66052,2016,2,20,0.0,,415,True
66052,2016,2,21,46.2,1.0,416,True
66052,2016,2,22,12.8,1.0,417,True
66052,2016,2,23,0.0,,418,True
66052,2016,2,24,0.0,,419,True
66052,2016,2,25,0.0,,420,True
66052,2016,2,26,0.0,,421,True
66052,2016,2,27,0.0,,422,True
66052,2016,2,28,0.0,,423,True
66052,2016,2,29,0.0,,424,True
66052,2016,3,1,0.6,1.0,425,True
66052,2016,3,2,0.0,,426,True
66052,2016,3,3,0.0,,427,True
66052,2016,3,4,0.0,,428,True
66052,2016,3,5,0.0,,429,True
66052,2016,3,6,0.0,,430,True
66052,2016,3,7,0.0,,431,True
66052,2016,3,8,0.0,,432,True
66052,2016,3,9,0.0,,433,True
66052,2016,3,10,0.0,,434,True
66052,2016,3,11,0.0,,435,True
66052,2016,3,12,0.0,,436,True
66052,2016,3,13,0.0,,437,True
66052,2016,3,14,0.0,,438,True
66052,2016,3,15,24.8,1.0,439,True
66052,2016,3,16,20.6,1.0,440,True
66052,2016,3,17,7.4,1.0,441,True
66052,2016,3,18,0.1,1.0,442,True
66052,2016,3,19,1.8,1.0,443,True
66052,2016,3,20,0.6,1.0,444,True
66052,2016,3,21,95.4,1.0,445,True
66052,2016,3,22,41.0,1.0,446,True
66052,2016,3,23,11.0,1.0,447,True
66052,2016,3,24,0.0,,448,True
66052,2016,3,25,0.0,,449,True
66052,2016,3,26,0.2,1.0,450,True
66052,2016,3,27,0.0,,451,True
66052,2016,3,28,21.2,1.0,452,True
66052,2016,3,29,0.0,,453,True
66052,2016,3,30,3.6,1.0,454,True
66052,2016,3,31,0.0,,455,True
66052,2016,4,1,0.0,,456,True
66052,2016,4,2,0.0,,457,True
66052,2016,4,3,6.0,1.0,458,True
66052,2016,4,4,27.8,1.0,459,True
66052,2016,4,5,1.6,1.0,460,True
66052,2016,4,6,0.0,,461,True
66052,2016,4,7,0.0,,462,True
66052,2016,4,8,0.0,,463,True
66052,2016,4,9,0.4,1.0,464,True
66052,2016,4,10,0.0,,465,True
66052,2016,4,11,0.0,,466,True
66052,2016,4,12,5.0,1.0,467,True
66052,2016,4,13,1.6,1.0,468,True
