year,averagemwh,Rainfall amount (millimetres),Daily global solar exposure (MJ/m*m),Minimum temperature (Degree C),Maximum temperature (Degree C)
2011,21.62292729166667,0.0,3.2,12.2,19.4
2011,17.249651250000003,0.0,23.6,16.4,21.8
2011,16.666642812499997,1.0,1.1,17.2,18.8
2011,19.99214791666667,1.0,8.3,15.8,19.6
2011,22.495832291666662,39.0,22.7,14.9,19.7
2011,22.31864354166666,11.0,26.5,16.5,23.0
2011,20.687149583333344,0.0,25.9,11.5,19.7
2011,15.973427083333334,0.0,13.8,13.6,22.6
2011,16.008257499999996,4.0,26.6,13.0,21.0
2011,19.685461145833337,0.0,22.6,10.5,27.0
2011,19.92409489583333,0.0,25.8,12.6,21.0
2011,19.28839364583333,0.0,19.1,12.8,20.4
2011,16.334413020833335,0.0,27.0,18.1,22.0
2011,15.646556875,0.0,9.7,12.6,22.0
2011,21.852630000000005,0.0,26.8,13.7,25.9
2011,21.5791659375,0.0,24.9,12.5,22.6
2011,20.85397812500001,0.0,28.9,13.4,21.0
2011,17.379863124999996,14.0,27.8,15.0,21.1
2011,16.99494208333334,6.0,19.4,15.8,24.3
2011,22.1094821875,1.0,29.3,17.4,24.7
2011,23.257459062500008,0.0,20.6,16.8,25.5
2011,23.65363291666667,0.0,26.6,20.8,20.7
2011,17.230181666666674,0.0,18.0,14.8,29.9
2011,16.1552596875,0.0,28.2,19.0,23.5
2011,20.33973802083333,0.0,10.9,18.7,23.1
2011,22.47672083333333,0.0,14.3,18.9,24.3
2011,22.164853541666663,0.0,15.0,21.4,24.5
2011,22.09537135416667,0.0,21.7,20.6,24.0
2011,41.406422291666665,0.0,18.8,11.6,16.7
2011,22.318822187499983,0.0,19.8,18.8,24.1
2011,22.1268084375,0.0,25.0,17.5,21.0
2011,21.442166458333343,0.0,5.9,19.0,23.0
2011,16.37746072916666,0.0,4.5,19.0,22.4
2011,15.715324583333324,0.0,15.4,16.7,30.9
2011,19.424322291666662,0.0,30.0,20.5,25.7
2011,21.83780458333333,0.0,12.8,18.7,26.5
2011,21.30623885416667,0.0,31.5,18.2,25.8
2011,21.37179177083333,0.0,19.5,16.9,24.9
2011,21.518079375000003,0.0,26.9,19.6,25.0
2011,15.656201979166664,1.0,32.4,19.8,25.8
2011,15.462223541666662,0.0,32.1,17.1,24.6
2011,18.94741270833334,0.0,24.4,17.2,23.3
2011,21.361966979166663,0.0,9.4,19.9,21.2
2011,21.653292708333325,3.0,20.2,18.7,21.8
2011,15.199833645833325,5.0,29.6,16.3,22.6
2011,15.459007812500005,0.0,24.7,20.1,21.8
2011,21.385902187500005,0.0,33.3,18.9,23.7
2011,15.27378125,0.0,18.0,19.9,25.9
2011,19.401816145833337,2.0,7.8,20.1,25.9
2011,21.85638135416667,0.0,8.4,20.6,25.5
2011,21.252652395833337,0.0,20.5,19.6,25.5
2011,21.46663749999999,0.0,32.0,20.9,26.2
2011,15.19733302083332,0.0,10.5,19.2,24.9
2011,43.06448864583333,0.0,5.4,13.2,18.8
2011,41.60829666666667,0.0,4.3,13.4,18.9
2011,39.317000416666666,0.0,21.7,13.3,19.2
2011,39.44094437499998,0.0,28.1,11.7,19.0
2011,34.79530437499999,0.0,8.5,12.7,19.2
2011,36.58534239583333,0.0,1.4,12.7,17.9
2011,39.884635729166654,0.0,4.1,11.6,16.9
2011,43.42378843750001,0.0,25.9,13.3,15.8
2011,37.09345302083333,0.0,24.8,11.7,16.1
2011,38.06268187499997,0.0,30.6,12.3,19.2
2011,41.68779270833334,0.0,13.3,13.1,18.3
2011,39.68041229166666,0.0,22.0,9.0,14.9
2011,38.77207927083334,0.0,25.4,5.6,18.8
2011,38.83375677083334,0.0,6.9,4.4,18.6
2011,34.020900937499995,0.0,27.7,7.2,16.8
2011,35.73653322916667,0.0,28.4,4.6,17.8
2011,15.164646770833324,0.0,3.0,17.6,25.9
2011,19.156395729166665,8.0,3.6,16.9,24.0
2011,21.828695208333333,0.0,16.1,17.2,24.7
2011,21.585239479166663,0.0,23.3,17.7,27.0
2011,21.131192916666667,0.0,25.5,21.0,24.9
2011,21.395904479166663,0.0,8.9,20.2,36.7
2011,15.919127499999997,9.0,25.0,20.0,24.9
2011,44.60487697916667,0.0,4.7,6.0,15.1
2011,45.07421739583334,49.3,13.1,9.3,17.0
2011,45.91813249999996,72.4,22.7,12.8,19.2
2011,39.53395125000001,41.1,5.0,5.8,18.7
2011,41.26994770833333,113.3,3.4,12.6,16.6
2011,42.79917458333333,88.9,9.1,10.3,18.2
2011,44.34249989583332,12.2,30.4,9.3,16.6
2011,46.71231239583333,15.7,16.4,8.7,15.9
2011,45.04817614583333,10.2,31.6,5.8,15.4
2011,45.38065114583332,0.0,22.7,11.9,14.4
2011,41.58675781250001,0.0,21.0,12.8,16.6
2011,40.67959875,0.0,32.0,12.5,16.8
2011,42.323175000000006,0.0,30.7,11.9,16.1
2011,44.003563125,0.0,19.7,9.3,17.5
2011,43.37248770833335,2.3,9.2,9.7,19.7
2011,44.6362053125,0.0,21.0,11.7,16.8
2011,47.71345614583336,0.0,4.1,3.8,14.9
2011,50.21073812499999,0.0,17.6,8.6,17.2
2011,48.46671395833332,0.0,21.8,6.0,19.4
2011,49.81658552083332,0.0,23.6,2.9,19.4
2011,45.765993125000016,0.0,28.1,8.3,17.6
2011,43.85808125000002,0.0,27.6,2.7,18.1
2011,45.461126458333325,0.0,13.1,4.7,18.1
2011,49.86455656249999,0.0,27.1,1.9,16.6
2011,50.1206684375,0.0,20.4,3.0,16.0
2011,49.551075,0.0,25.5,5.9,17.2
2011,47.48299583333334,0.0,19.7,7.8,15.7
2011,48.12327458333331,1.5,22.8,5.8,15.2
2011,42.192379375,0.0,14.1,6.1,15.6
2011,40.54136156249999,0.0,15.6,9.7,15.4
2011,45.419224375000006,0.0,16.0,9.7,15.4
2011,45.23007802083334,0.0,16.3,8.3,14.7
2011,51.19210666666668,0.0,16.7,2.5,14.2
2011,45.596230625,0.0,14.0,1.6,16.3
2011,48.25505020833332,0.0,10.2,4.0,16.0
2011,54.33749760416666,2.0,18.1,4.4,15.7
2011,54.1835959375,0.0,3.8,3.8,17.7
2011,55.8032842708333,3.8,23.3,7.2,18.6
2011,52.48264874999998,0.0,0.5,7.5,20.9
2011,45.72272052083333,0.0,9.9,9.9,16.4
2011,42.59730020833333,0.0,23.0,6.6,15.8
2011,45.53376989583334,0.0,26.4,8.6,16.1
2011,47.00131885416668,0.0,26.4,6.6,15.4
2011,48.50548333333335,0.0,9.7,1.9,16.4
2011,48.16870083333333,0.0,25.9,4.8,16.7
2011,49.0549090625,0.8,24.2,5.9,21.1
2011,43.328432604166665,0.0,15.3,1.8,16.4
2011,44.83631666666667,0.0,18.0,3.4,16.2
2011,44.953211875,0.0,17.4,8.4,20.7
2011,50.11792666666668,0.0,8.4,6.1,17.2
2011,54.28580572916669,0.0,1.6,7.2,15.0
2011,52.90206052083335,0.0,2.9,4.9,14.5
2011,49.73415125000002,0.0,5.9,4.2,14.7
2011,42.76530072916666,0.0,10.9,2.1,15.4
2011,44.348765520833325,0.0,4.0,5.6,13.6
2011,47.77121885416665,0.0,9.1,9.2,19.3
2011,47.29150041666667,0.8,0.2,7.2,18.3
2011,46.533738750000005,0.0,19.0,8.4,17.3
2011,47.58833906249999,0.0,17.8,8.3,16.9
2011,41.367848854166674,0.0,16.4,7.1,17.8
2011,44.23284947916667,0.0,15.3,8.6,19.0
2011,48.3059590625,0.0,11.1,7.5,15.6
2011,50.583743958333365,0.0,15.9,8.3,14.9
2011,49.31376062499999,0.0,18.4,4.1,14.2
2011,49.13851677083334,0.0,15.6,10.0,14.1
2011,44.50873760416667,0.0,13.3,4.7,16.2
2011,45.83687364583332,0.0,16.2,6.8,16.2
2011,49.27009625,0.0,13.3,7.9,15.9
2011,49.915073750000026,0.0,15.7,1.9,18.3
2011,47.95507885416664,0.3,16.2,5.6,16.9
2011,49.76724208333332,0.0,15.1,10.6,20.3
2011,51.04270843750001,0.0,16.1,8.2,19.7
2011,40.72169677083332,0.0,15.6,8.3,18.4
2011,40.250788750000005,0.0,14.5,12.3,16.6
2011,44.30235989583333,0.0,2.2,4.8,20.4
2011,48.833846250000015,0.0,6.6,6.0,19.4
2011,50.35191229166665,0.0,6.0,10.6,17.5
2011,49.33314552083333,0.0,4.2,11.9,16.4
2011,50.52108687499999,0.0,8.5,9.3,15.3
2011,44.75290468749999,0.0,4.7,6.4,15.6
2011,45.38358812499998,0.0,4.5,6.4,18.3
2011,44.82496010416666,0.0,9.2,7.3,18.2
2011,47.32145791666667,0.0,6.5,11.0,20.3
2011,41.114283229166666,0.5,7.6,4.2,20.1
2011,41.55366708333333,2.8,11.3,8.9,17.3
2011,42.03514833333333,1.3,11.7,6.4,16.4
2011,41.63844947916667,1.0,13.5,11.7,20.1
2011,46.53021510416667,2.8,13.9,5.8,24.6
2011,46.939053125,7.1,13.8,5.3,19.3
2011,44.80146375,13.0,6.6,9.2,20.6
2011,39.843125416666645,0.0,5.3,8.6,24.3
2011,40.025026875,0.0,14.0,8.6,24.0
2011,45.47404947916669,0.0,15.0,6.4,17.6
2011,47.94235156249999,0.0,14.9,7.0,20.4
2011,47.96721864583333,0.0,15.4,9.1,14.2
2011,50.47468166666667,0.0,15.6,6.4,16.2
2011,36.82055114583333,0.0,6.5,13.6,26.1
2011,40.25285447916667,0.0,7.1,11.1,27.2
2011,43.863701979166656,0.0,7.5,10.4,19.4
2011,41.91513843749999,0.0,11.6,10.3,19.4
2011,41.59136114583333,0.5,4.6,10.0,13.1
2011,39.70960947916668,0.0,4.1,9.2,30.7
2011,34.27925312499999,3.0,6.0,13.8,23.0
2011,37.22960260416668,2.3,7.3,9.8,27.0
2011,40.91620677083333,0.0,12.1,7.9,25.7
2011,40.07811760416668,0.0,6.9,11.4,18.1
2011,39.498897291666665,0.0,5.3,14.3,16.7
2011,42.058644583333326,0.0,4.1,9.2,31.4
2011,40.7007459375,2.0,3.2,11.4,24.7
2011,41.15853520833333,0.0,10.3,9.6,18.8
2011,44.56003770833332,0.0,9.4,10.8,25.8
2011,46.628899895833335,0.0,11.4,7.2,20.8
2011,36.34126229166667,0.0,9.9,11.9,18.3
2011,31.73338729166668,3.6,7.5,12.3,19.2
2011,31.89575208333332,0.0,10.1,12.5,17.8
2011,36.866615,0.0,10.4,12.7,17.5
2011,39.45740239583331,0.0,10.3,12.8,15.3
2011,38.12022770833335,4.1,10.3,14.8,20.0
2011,39.11877802083334,1.8,5.9,11.5,30.8
2011,39.39059052083335,0.0,4.9,10.7,27.8
2011,35.22774312499999,0.0,8.7,12.0,20.7
2011,36.16500250000001,0.0,10.6,15.3,19.6
2011,40.3779115625,0.0,8.6,15.0,22.2
2011,41.03897989583333,0.0,9.2,15.4,18.1
2011,39.82819437499999,0.0,10.4,15.3,26.7
2011,40.73024020833335,3.0,10.8,13.8,25.4
2011,39.02132145833334,0.0,6.9,11.8,23.6
2011,35.586162604166674,0.0,9.3,13.1,21.7
2011,37.65350166666667,0.0,11.1,13.6,16.6
2011,36.87498958333333,0.0,11.0,14.2,18.6
2011,36.81712479166668,0.0,10.9,11.7,20.8
2011,36.72328458333333,5.1,6.3,19.4,30.7
2011,32.5185609375,0.0,5.0,16.2,32.0
2011,33.47142895833333,0.0,9.3,17.1,25.0
2011,35.30863979166667,0.0,7.2,14.7,32.8
2011,37.05981468749999,0.0,11.0,13.6,26.7
2011,36.55844572916667,0.0,10.9,14.4,20.0
2011,36.19736145833334,4.1,10.7,12.8,28.1
2011,31.94448020833333,1.8,10.6,17.5,19.6
2011,34.55087604166666,2.3,10.4,15.2,36.4
2011,38.24794864583334,0.0,8.8,15.3,26.9
2011,38.46970104166667,9.9,9.4,10.4,27.8
2011,36.80113604166667,2.3,10.7,8.8,23.3
2011,36.00739656249999,0.0,10.9,12.3,20.4
2011,32.206204479166665,0.0,4.2,14.2,26.1
2011,32.81892583333332,0.0,11.6,21.6,30.6
2011,35.58559229166666,76.5,2.1,20.4,34.7
2011,36.59404062500001,0.0,3.1,13.1,28.7
2011,36.536746458333326,3.8,9.8,12.1,21.7
2011,37.65825958333332,17.8,11.3,14.8,20.6
2011,34.50557447916667,0.8,12.5,9.4,21.1
2011,32.61734989583334,0.0,0.6,9.3,18.6
2011,35.5349603125,0.0,8.1,10.1,17.8
2011,36.834827395833344,0.0,4.6,14.3,20.6
2011,36.71890697916668,0.0,9.2,24.4,36.7
2011,37.78445927083332,1.8,11.8,15.2,36.1
2011,36.46536708333333,15.7,8.1,14.7,30.8
2011,32.34953520833334,0.0,9.1,10.1,27.9
2011,33.41204093750002,0.0,11.6,13.4,21.7
2011,36.175471770833326,0.0,11.5,12.3,19.2
2011,37.589165000000015,0.0,10.1,13.6,28.6
2011,39.05920020833333,14.5,11.4,14.4,27.2
2011,38.45504479166667,3.6,10.7,14.3,26.9
2011,37.65845052083333,0.0,12.0,9.2,27.1
2011,39.48290833333333,0.0,15.2,10.3,21.1
2011,39.3336778125,0.0,15.1,13.2,19.7
2011,37.95291406250001,0.0,13.5,12.8,16.7
2011,36.65114416666666,0.0,15.4,16.6,22.2
2011,37.3306759375,0.0,12.7,15.6,21.4
2011,32.52236791666665,0.8,14.0,15.1,22.5
2011,35.327674270833334,0.0,14.1,13.4,38.1
2011,37.43384343749998,2.8,12.4,9.7,33.1
2011,37.46734395833334,0.0,13.1,7.5,22.8
2011,36.24627989583333,0.0,6.5,12.9,19.2
2011,36.58528499999999,0.0,12.9,15.0,23.1
2011,36.96064552083333,0.0,12.8,13.9,23.3
2011,38.51176708333333,0.0,19.3,12.3,27.9
2011,37.73744302083333,0.0,17.1,13.6,23.4
2011,37.09160302083335,0.0,12.6,14.3,21.2
2011,36.94313260416666,0.0,5.7,12.8,22.1
2011,32.37180479166667,0.0,6.7,13.2,22.9
2011,34.93061500000001,10.9,18.7,10.8,23.4
2011,38.50282135416666,0.0,18.2,14.2,20.6
2011,40.218592395833326,0.0,8.8,15.3,24.3
2011,37.97613666666667,0.0,16.7,16.4,35.7
2011,36.87118322916668,0.0,17.8,15.6,31.3
2011,36.40521864583332,0.0,17.1,12.8,27.8
2011,31.264947604166665,0.0,15.7,11.1,28.6
2011,32.22143312500001,0.0,18.4,14.2,26.2
2011,36.00949010416667,0.0,4.5,19.7,26.1
2011,37.474005729166656,0.0,7.6,15.6,38.9
2011,36.43091437500001,1.8,13.9,14.0,32.8
2011,31.737574374999983,20.8,15.5,17.7,19.2
2011,32.530932916666664,0.0,6.4,20.0,20.3
2011,36.60374760416666,0.0,19.7,20.3,21.7
2011,39.95439260416668,0.0,24.7,16.6,31.4
2011,41.71984447916667,0.0,19.4,16.7,27.3
2011,38.53384791666667,0.0,16.9,18.3,23.3
2011,34.65937260416668,0.0,19.8,14.9,23.3
2011,35.113535729166664,0.0,23.1,17.2,21.4
2011,41.59440677083334,0.0,16.3,19.7,20.3
2011,44.04281624999999,0.0,5.1,18.9,21.7
2011,41.66026625,0.0,20.4,15.7,30.0
2011,39.271815520833336,0.0,16.8,22.8,31.7
2011,38.891315312500005,0.3,5.8,18.3,30.7
2011,33.071323125,5.3,16.1,18.6,33.9
2011,33.78131052083335,0.0,19.8,15.7,32.2
2011,37.6896665625,0.0,21.6,10.0,34.3
2011,33.51692104166667,0.0,15.2,16.8,26.7
2011,30.60216635416666,3.8,14.7,16.6,36.1
2011,32.966252604166655,0.0,20.3,20.6,25.8
2011,34.97743906250001,0.0,20.6,21.4,24.4
2011,37.60972197916667,0.0,2.3,20.1,33.3
2011,36.73679916666666,0.0,26.6,21.1,35.8
2011,33.35341510416667,3.3,26.3,20.6,29.2
2011,29.94718927083333,0.0,26.9,22.8,28.3
2011,30.667073645833327,0.0,25.8,13.9,33.1
2011,29.9449046875,0.0,21.4,11.1,34.2
2011,29.82917510416667,0.0,19.2,16.2,26.9
2011,34.01848072916668,0.0,9.1,19.4,21.7
2011,38.00297520833333,4.1,20.4,16.1,29.2
2011,36.98196406249999,0.0,24.8,16.1,25.6
2011,36.141399583333325,0.0,19.2,16.4,21.1
2011,34.9856240625,0.0,21.5,16.7,21.1
2011,39.73397385416666,0.0,31.0,14.7,27.2
2011,37.57983791666668,1.5,32.1,18.8,26.9
2011,37.56365885416666,0.0,31.7,18.4,27.2
2011,41.1619428125,0.0,31.0,17.1,28.4
2011,35.471004270833326,0.0,26.9,17.5,25.8
2011,36.85633635416666,0.0,8.8,19.7,22.5
2011,39.26496312499999,0.0,30.7,16.9,31.4
2011,40.05660843749999,0.0,30.6,16.1,31.0
2011,39.07614041666668,0.0,27.8,13.2,30.0
2011,37.46258499999998,0.0,25.7,18.1,28.6
2011,37.82804739583332,0.0,29.4,17.9,28.2
2011,34.06758989583333,0.8,29.2,22.1,22.5
2011,33.92425958333333,0.0,29.4,22.2,27.8
2011,35.418278333333326,0.0,16.9,20.3,41.1
2011,35.57702666666668,0.0,7.9,22.2,38.6
2011,34.28210875000002,0.0,15.5,21.1,29.2
2011,36.854432916666674,0.0,28.9,16.9,31.9
2011,42.82974656249999,0.0,23.9,16.8,28.6
