year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00:00,averagemwh
2022,15.886452534,15.551447161,14.933144803,15.010617656,15.013243389,14.283983378,14.481565388,14.360571554,13.825746908,13.451739264,13.198599626,13.198599626,13.198599626,13.198599626,13.198599626,13.198599626,13.198599626,13.598457273,13.939773687,13.939773687,14.1804807,14.665769263,15.43274251,16.297284195,17.484690728,18.279705117,19.735719192,20.962341073,21.915016925,22.942206806,23.729292667,24.154382236,24.469322697,23.796690113,23.160434486,22.77684903,22.53966742,22.325606317,22.369186154,22.326695653,21.859607094,21.681008889,21.649687938,21.731635354,22.106983021,21.888751465,21.573222777,22.074598105,22.22488042,22.112624401,22.411848304,22.929179703,22.826910834,22.72274129,22.09056594,22.358274305,21.884716684,22.373674229,22.871574648,22.921705628,22.358664941,22.301365003,22.431263549,22.812660451,23.2984521,24.059650289,24.03891834,24.84426346,25.417800406,26.219418067,27.237802345,27.836407565,27.753561922,27.858909229,28.40740848,28.308081653,27.973891628,27.261550056,27.180654993,26.680059665,25.600293234,25.001443331,24.566481361,23.664222354,22.941486651,22.454143934,21.676112218,20.888778977,20.405557701,19.644490395,19.383235813,18.631096157,17.951843008,17.564253388,16.842673688,16.341598004,20.69107794511459
2022,15.977626237,15.887012026,15.251081641,15.251081641,15.231531465,14.924396288,14.793098159,14.253347328,13.890332854,13.597693351,13.597693351,13.597693351,13.655922132,13.65470674,13.65470674,13.65470674,13.65470674,13.88590316,13.897137687,14.239230033,14.737257858,15.095083714,15.665605812,16.504177898,17.593713688,18.678216108,20.010860392,21.2394415,22.577308743,22.741651548,23.732763547,24.901333711,24.742579909,24.10126039,23.625729688,23.910986413,23.268106742,23.150992271,23.054604864,22.747030134,22.906086791,22.647770773,22.335775434,22.1271444,21.982561789,22.328983391,22.237947318,22.733226698,22.393629296,22.238274138,22.30299722,22.638665811,22.248446562,22.013022162,22.308933796,22.027780914,22.077911742,22.205857579,22.364329013,22.364522915,22.374271292,22.425329937,22.823395996,23.391081981,23.853038879,24.090203594,24.624211922,24.56347476,23.774515022,25.826949222,27.138141857,27.872394074,28.172364454,28.227772194,28.32635663,28.323470498,28.10224629,27.521886665,27.124385647,26.45721966,25.530179935,24.544264099,24.42596639,23.740064016,23.080682352,22.232780898,21.602304718,21.13833006,20.412743174,19.654918619,19.545869907,18.934558626,18.261807493,17.617137297,17.357749352,16.734175042,20.884775238416665
2022,16.448381916,16.227041096,15.805994574,15.621668671,15.542767443,14.851987916,14.851987916,14.560879754,14.196333939,14.196333939,14.196333939,14.196333939,14.196333939,14.196333939,14.155705931,13.426653183,13.426653183,13.780507069,14.196333939,14.196333939,14.724523917,15.303462996,16.251204245,16.445564979,17.728005496,18.913875423,20.05198358,21.225603591,22.296456739,23.188195807,23.874838005,24.131952769,24.126313024,23.852314315,23.375489618,22.580434103,22.520288778,22.664782942,22.232312362,22.113122565,21.900949954,22.047018467,21.915638713,21.639272599,21.639298692,21.223641019,21.499746202,21.664263601,21.80870765,21.875855112,21.46073249,21.466171549,21.707721144,22.064181663,21.88183422,21.901746716,21.640683338,21.914264291,21.979977239,22.381664352,22.265520533,22.470580381,22.396373008,23.01608563,23.030410149,23.060118325,23.624919471,24.078433331,24.488751891,25.42734726,26.231683871,26.868392546,26.978241649,27.106561608,27.285541043,27.085534253,26.631872272,26.482719335,26.042518956,25.292697902,24.948750492,24.43381396,23.864943711,23.379637418,22.715245208,22.338281819,21.718068752,21.189340699,20.685965532,20.08801473,19.38741841,18.53040042,18.107419834,17.636324469,16.877060877,16.704923068,20.6036969504375
2022,16.360111943,15.834890822,15.536148587,15.359517629,14.888170912,14.761162926,14.405536361,13.829949688,13.711720129,13.711720129,13.711720129,13.711720129,13.711720129,13.711720129,13.711720129,13.711720129,13.711720129,13.711720129,13.95030672,14.395880801,14.708655438,15.16788012,15.85065073,16.255399043,17.457720012,18.58452745,19.549287613,20.727670047,22.062576299,23.104568852,23.551835395,23.846200959,24.104522924,23.706941023,23.589272077,23.01011249,23.098018451,22.754145785,22.445321967,22.514574649,22.564980795,22.276872165,22.043941948,21.721733211,21.643072826,21.310462243,21.322089326,21.420160185,21.489336944,21.598441738,21.51783636,21.247858539,21.004180082,21.156189789,21.265994213,21.265994213,21.323397308,21.241457114,21.243207672,21.211789113,21.195155457,21.637006088,22.005797824,22.280091882,22.736339648,23.08731145,23.488291064,24.181174006,24.709017932,25.74881412,26.345766313,26.839796948,27.343593995,27.23424144,27.481035641,26.942725101,26.81961875,26.31057191,25.893590291,25.256931465,24.637778904,24.283869221,23.694860798,23.682511033,22.860703544,22.557009943,21.792633732,21.245861474,21.097516911,20.62436973,20.265511665,19.723125124,19.104718431,18.694710975,18.249060382,17.75967077,20.523005611968745
2022,17.466294978,16.797410188,16.494564814,16.321055472,16.020762396,15.707037328,15.688794735,15.194068251,14.824513011,14.367374106,14.367374106,14.367374106,14.367374106,14.367374106,14.367374106,14.367374106,14.367374106,14.367374106,14.367374106,14.270359173,14.530911255,14.483464827,15.06658751,15.247426417,15.908238548,16.511297426,17.208066628,18.097192316,18.804310626,19.296273233,19.988654437,20.649055748,21.040889122,21.468853136,22.127998651,22.150466297,22.078759664,22.063495032,22.154859369,22.380055282,21.857944166,22.068944847,22.084280974,22.210680456,22.228597104,22.512193922,22.73396983,22.294913824,21.669220991,22.124258249,23.198203443,22.295785311,22.043395456,21.494524345,21.987429688,21.649390518,20.800612617,20.7839301,20.93624593,21.075703835,21.5787843,21.638172544,21.820672442,22.237818506,22.621767784,23.077100029,23.751783213,24.548424366,25.29143804,26.391529954,27.411334416,27.932927109,28.26463135,28.162322344,28.206854818,27.769227472,27.410100209,26.9538502,26.639898009,26.044600971,25.576852673,25.388145462,24.990671335,24.568295869,24.255218169,23.679667642,23.454980802,22.824392685,22.295425025,21.815472402,21.263698265,20.862067197,20.215361927,19.572650313,19.213055198,18.60141721,20.709336383187487
2022,18.632778014,18.115597454,17.645643992,17.481680155,17.275056961,16.563107983,16.298716125,16.220309259,15.724759465,15.336601725,15.336601725,15.336601725,15.336601725,15.336601725,15.336601725,14.770480187,14.538414274,14.538414274,14.589332362,15.165561557,15.165561557,15.187185462,15.34063221,15.963749007,16.159427815,16.735283971,17.510283487,17.989681027,19.008481731,20.11258313,20.722990445,21.018940963,21.880519415,22.408767434,22.731755943,22.782647063,22.787542613,23.129961114,23.295388086,23.030077419,23.043790242,22.806531968,22.596010788,22.342309986,22.288231493,22.049484296,22.025619612,22.069368171,21.639253499,21.462243326,21.574557518,20.863988054,20.794442495,20.769138299,20.700507329,20.626698138,20.53015805,20.528545141,20.467804672,20.789709946,21.376451478,21.490653459,21.832007464,22.448039758,23.091540932,23.727478786,24.503347603,25.480344835,26.495338755,28.317622426,29.767014471,30.590518755,30.872237192,30.952501078,31.233089813,30.805445797,31.0675617,30.393732728,30.031131468,29.514178391,28.811034294,28.62949933,27.794027289,27.447993056,26.67254074,25.766741239,25.057990294,23.880543468,23.075799991,22.518432042,21.616299015,20.779850108,19.71811473,18.828431889,18.500132278,18.203981074,21.497926698468756
2022,17.731164076,17.428610971,17.047003404,16.357090975,16.354000849,16.23610594,15.650175366,15.650175366,15.237648165,14.851987916,14.851987916,14.851987916,14.851987916,14.851987916,14.851987916,14.851987916,14.851987916,14.851987916,14.881030688,15.564655282,15.663493048,16.535505026,17.027425196,17.900734876,19.386860686,20.929289765,22.224095155,23.931265791,25.434110474,27.078604124,27.492017351,27.814496521,27.808451392,27.382376916,27.004390403,26.663008956,26.229666034,25.960772722,25.733302601,25.392795151,24.973831537,24.575011419,24.225908725,24.340582948,24.115374606,24.11425416,23.832794241,23.763040659,23.899165637,23.852911872,23.678600542,23.681900515,23.621265977,23.400622697,23.16746665,23.177639797,22.986239995,22.937938499,23.146239482,23.434393438,23.839942447,25.037874716,24.950390026,25.147239813,26.059126519,26.537739479,26.987952131,27.724095293,29.00819127,30.658152428,31.815746279,33.106543058,33.62347371,33.843833671,34.309078873,34.247985624,33.757489098,33.409846136,32.802438942,32.504334915,31.293445555,30.627755283,30.052697087,29.02070033,27.894947241,26.956466392,26.161838478,25.113207704,24.28594314,22.822099341,22.112896944,21.123199885,20.119713244,19.161419919,18.46226178,17.840537232,23.466083353052085
2022,17.588630603,17.069442924,16.6323764,16.419159798,16.014015147,15.66425144,15.666671297,15.058749633,14.994521389,14.994521389,14.994521389,14.994521389,14.994521389,14.994521389,14.994521389,14.994521389,14.994521389,14.994521389,14.994521389,15.038500073,16.153033156,16.939690161,17.510440806,18.23003604,19.71480535,20.993325474,22.134316456,23.739554925,23.955339847,27.741916785,28.470511374,28.39702522,28.30629721,27.98536276,27.389079391,26.909506155,26.794137604,26.233720465,25.710038421,25.37714661,25.062609689,24.940341948,24.733484031,24.18509035,24.214708692,24.021851438,24.266733942,24.215293098,24.011458392,23.613578425,23.533812056,23.43521865,23.255309365,23.05682774,23.166471919,23.085822375,22.902221853,23.02177131,23.117367902,23.040388747,22.652046949,21.784583441,23.324051549,23.971218228,24.377465385,25.057181977,25.523920131,26.619359695,27.481444275,29.216120982,30.395023226,31.762738175,32.543798556,33.130395731,33.363898647,33.450215512,33.000942402,32.694964408,32.369252103,31.757202536,30.67191107,29.797085309,29.451331354,28.877281686,28.208029655,27.025726999,26.0628574,25.406913243,24.447328338,23.236289033,22.06861453,21.005121982,20.24276756,19.173217871,18.381338116,17.807116667,23.22912430673959
2022,17.451434419,17.072467807,16.620906104,16.243311387,16.049768775,15.843407692,15.422121809,15.120381125,14.766467832,14.766467832,14.766467832,14.766467832,14.766467832,14.766467832,14.766467832,14.766467832,14.766467832,15.052120116,15.450628503,15.781364638,16.243114501,16.827710638,17.485430476,18.278635774,19.855029477,21.297742347,22.737556618,24.605416185,26.558406586,27.955913102,28.127669206,28.015632385,28.408187074,28.005552019,27.677090661,27.22149891,26.470345092,26.27370749,25.7531471,25.492598172,25.118749976,24.753838723,24.33300106,24.240332619,24.347380274,24.115701806,23.939819966,23.558735877,23.578738645,23.830785565,23.667105806,23.747431172,23.441795391,22.931315786,23.007146064,23.009481484,23.199883684,23.011824412,23.137371791,22.8591604,23.317181834,23.691253827,24.03939978,24.191503026,24.809577445,25.274891272,26.087160345,27.025097875,28.099149722,29.32625958,30.707173661,31.635363118,32.544931051,32.822585972,32.856232196,32.747112826,32.451343155,32.193093691,31.580739217,31.100133449,30.719395697,29.933373745,29.205364836,28.90479439,27.928507526,27.245305725,26.210755434,25.184632406,24.186037438,22.914997679,22.055667056,20.91347999,20.093536686,19.206010984,18.385863573,17.890173734,23.266710282479156
2022,17.446097129,17.012893643,16.688150432,16.419856122,16.017016807,15.693329047,15.58864625,15.37386197,15.251081641,15.251081641,14.697386741,14.50990758,14.50990758,14.50990758,14.50990758,14.50990758,14.50990758,14.932237625,15.137054862,15.137054862,16.163826018,16.741221916,17.398289806,18.338774865,19.239169078,20.741754483,22.026199819,23.972989995,26.098728134,27.264630166,27.712757173,27.711712593,27.304940191,26.927746487,27.206662335,25.992982835,25.668108095,25.140117986,25.409888126,24.636138287,24.563509025,24.156553439,23.688232403,23.466318313,23.279218215,22.847031524,22.825658858,23.859512274,24.119491904,22.871913231,23.473558691,23.155011619,23.087378327,23.368602153,23.516860474,22.955686368,22.427646904,22.729333767,22.622164426,22.405024828,22.51833624,22.602829627,22.994854091,23.246971727,23.807451619,24.441459569,24.940301089,26.087087634,27.070787379,28.252041977,29.420792075,30.310580771,30.835689138,31.163279825,31.566062146,31.951459602,31.595309178,31.06432427,31.030099418,30.431652675,29.891995575,29.224482547,28.757700264,28.250134404,27.812495922,26.669375299,25.706685045,24.821946804,24.209195022,23.1279795,22.172894224,21.068339796,20.228194197,19.608696401,18.639458425,18.18727119,22.797174521333343
