averagemwh,year,index
25.01006814432989,2015,214
25.40006072164948,2015,215
26.11529958762886,2015,216
25.510223402061865,2015,217
24.175239175257747,2015,218
23.156023814432995,2015,219
22.44518577319588,2015,220
22.13616597938145,2015,221
23.029860927835056,2015,222
21.38744824742268,2015,223
24.71252525773197,2015,224
22.16231670103093,2015,225
23.780131340206182,2015,226
24.02759216494845,2015,227
24.85806927835052,2015,228
24.705797216494847,2015,229
22.858115670103103,2015,230
22.42058948453608,2015,231
22.78954360824742,2015,232
23.897692680412376,2015,233
23.032002886597937,2015,234
23.709523402061865,2015,235
23.74242855670104,2015,236
22.277421958762886,2015,237
28.90196113402062,2015,238
24.16762979381444,2015,239
25.04218134020618,2015,240
23.31399556701031,2015,241
25.240186597938145,2015,242
27.172063711340208,2015,243
25.457626391752584,2015,244
