year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00:00,averagemwh
2022,11.591284329,12.313355373,11.704658131,11.671436293,12.505614748,11.579352489,10.702848316,9.7667671482,8.9508328596,8.199214126,7.5946687853,6.8706336938,6.6716345442,6.2976561622,5.967322098,5.6551805277,5.7903879658,5.6182185635,5.6182185635,5.6182185635,6.2432049977,6.8745707528,6.8946893163,7.0348485672,7.6110595684,8.5347512151,9.6059001786,10.26253925,9.7473512686,9.7771390449,9.6454513469,9.7907732416,9.7674483017,9.1224303494,8.389865878,7.2451213746,7.2472680516,7.2148500804,7.0786292007,6.9798038675,6.3578832434,6.3698261346,5.9998760707,6.5419311306,5.9378759056,5.839543719,6.4305527937,6.1958889339,6.568496027,6.6198008966,5.9751880475,6.7168577476,7.2928886332,6.7111182938,7.3184689182,7.1515917484,7.6237596993,7.9362121936,7.60244671,6.5725470768,6.764343818,7.3141089404,7.3513928803,7.4735287382,7.9244893924,8.5197327558,8.7700978178,9.1276296226,9.4960386867,9.9431901148,10.844681371,11.208540694,11.536034841,11.716942662,11.829141222,11.883297337,11.62156795,11.533360717,11.384284984,11.036107993,10.795583278,10.695880967,10.367830968,10.10555495,9.7394775755,9.888673694,9.6541275951,9.4437818617,9.8469189458,10.351407104,10.227633128,9.8688444503,9.5327236025,10.130025932,11.713272801,11.496394447,8.65265205097604
2022,11.907372735,12.477205709,11.777848457,11.82728538,12.427448104,11.447445958,10.502143372,9.6670482595,8.7819719781,7.8880683111,7.2910346395,6.9088261218,6.573280975,6.1937410742,5.8030283847,5.8030283847,5.9387619209,5.9321672042,6.119711416,6.3466819571,6.4191175751,6.7270774905,6.8042969477,7.3448279734,8.0571564347,9.7204639715,10.188961877,10.453289247,9.6757022751,9.6788338221,9.5955546357,9.4611223639,9.0579126864,8.8144365769,8.330471864,8.2202485515,7.907974565,7.3877391876,7.018957898,6.4948270437,6.7744502355,7.2701967962,7.1307713697,7.7164909471,7.6209746153,6.4107688284,6.5651560515,6.3002098088,5.6188902363,5.9255089129,6.6452252022,6.9116694394,6.6736072411,6.7583575137,7.0865116907,7.0720778773,6.7878580402,6.5698151256,7.5313691299,7.6154615535,7.3311380011,7.4496997849,7.4173051182,8.0256297273,8.309034165,8.3729544303,9.0013734297,9.2384849663,9.7323945913,10.479936605,10.78959313,11.179184523,11.386216247,11.746079076,11.912448444,11.742124109,11.458208912,11.299701595,10.940207054,10.600643292,10.479606387,10.285923236,10.09706061,9.8503634682,9.7002785993,9.499224808,9.499224808,9.2288662619,9.5299179862,10.046439703,10.183021146,9.8428080731,9.8006489425,9.982781239,11.321133509,11.299090983,8.698095738595832
2022,11.719871676,12.57134323,11.758337807,11.481556288,12.325616395,11.344176078,10.436313356,9.4769378524,8.7985579204,8.0619266719,7.3375172665,7.001676424,6.3958933196,6.0532032219,5.8217466626,5.5997375814,5.5997375814,5.5997375814,5.5997375814,5.5997375814,5.7790520825,6.3886526371,7.1926299705,7.7485918401,8.3456008765,8.8964115604,9.5557314273,10.154309166,9.194768739,9.6016052353,9.7782688428,9.3699344445,9.4561926358,8.9849832566,8.3591544592,7.9269687455,7.6746366788,7.2112799612,6.8813866684,6.5578975349,6.283977223,6.0673018087,5.8973088377,5.6146435099,5.3395584157,5.4885832155,5.2973374662,5.0647858348,5.0673115752,5.1231470761,5.0453081179,5.0453081179,5.0453081179,5.3506833755,5.5567253687,5.6857703972,6.2072957102,6.2096099912,6.6013415188,6.8626978307,6.9145065473,7.2406232514,7.3845731366,7.5723557161,8.0314895293,8.248149475,8.5430403052,8.9680484304,9.4715502211,10.03783492,10.922320919,11.085514515,11.226074656,11.273399091,11.318008042,11.29099829,11.187585312,11.149834099,11.033146324,10.671782801,10.38631195,10.38631195,10.345716218,10.028319155,9.8842352829,9.7778309544,9.744280062,9.2923820524,9.5924579808,10.070353595,10.312388021,10.030520517,9.9797303431,10.194449287,11.444951765,11.275785688,8.362627945317708
2022,11.761783106,12.496103825,11.840517246,11.800035708,12.657180905,12.153063531,11.104664398,10.264575484,9.2189049201,8.4580571907,7.7653431316,7.378332035,6.9621016186,6.7085965084,6.2770283737,6.0987240985,6.0836202017,5.7291044562,6.0090892839,6.1083581791,6.6088456477,7.1521400792,7.6293385349,7.9547825312,8.506235688,9.4018077257,9.867054752,10.318626831,9.5410089595,9.9612493609,9.8780383693,9.7747965805,9.3075353304,9.264301198,8.957853027,8.4123899816,7.7344874872,7.4769640016,7.2398400644,6.7127563926,6.4427128364,6.2908835476,5.9716902629,5.4227478215,5.524090135,5.7040064508,5.4621707318,5.3964467781,5.3964467781,5.3217436175,5.0386897086,5.1527708891,5.1513416069,5.2409939046,5.1984951305,5.4279384086,5.1746749927,5.4940414442,5.6443647178,5.8574559119,6.3386778438,6.4179202108,6.9153990309,7.4484523001,8.0782714927,8.4674722346,8.8838364903,9.1668565236,9.9870931294,10.75044834,11.198419381,11.638197286,12.158929266,12.322471542,12.441801229,12.315342263,12.226002756,12.068081322,11.996453933,11.753904626,11.493652313,11.458208912,11.20959217,11.193369786,10.964806128,10.631049848,10.460862014,10.186943458,10.457665192,10.786046759,10.75314466,10.144517129,9.8503634682,10.1887224,11.375836588,11.219209525,8.68580170800208
2022,11.672303901,12.652684685,12.099733331,12.201314936,12.948254728,12.027181634,11.033106719,10.235024043,9.4568346282,8.6221018727,7.8341430969,7.2953732349,7.04135768,6.5418568371,6.3524874804,6.1172050806,6.1172050806,6.0254403513,5.7845474025,5.6443795025,5.7889647269,6.1172050806,6.1172050806,6.1575963759,6.6363267757,7.8881332902,8.0954148583,8.4613548077,8.1921196281,8.5506330503,8.5751757022,9.7222618939,10.334635797,10.068227247,9.13977732,8.7473619776,8.7312400374,8.2771059213,7.6922057538,7.3474670392,6.942901911,6.605736167,7.1644273265,6.1350542349,5.8336549943,7.327835043,7.4504313361,7.3246245638,6.3113074538,5.9605364173,6.3149351227,6.9848411364,6.623541817,8.0593541746,6.8946263331,6.7021557752,7.7869410977,8.7620509209,8.1088844819,7.6047170062,7.9358313375,8.2775402244,8.5049487094,8.7118851082,9.3298307133,10.109320542,10.569091191,11.253456596,12.006288791,12.535634627,13.525435279,13.942350249,13.98607045,14.006901308,13.916782254,13.916844239,13.761640065,13.507991043,13.143184126,12.895356613,12.702604405,12.511624893,12.511624893,12.178375158,12.02407657,12.006947915,11.719239478,11.217903585,11.627625665,12.127237468,12.162576136,11.575129049,11.147577885,11.242368691,12.684739949,12.400739,9.447065417787499
2022,12.833608455,13.792226848,13.363671649,13.367967147,14.146641077,13.138434014,12.254347463,11.472147269,10.45912445,9.569557512,8.8349514096,8.3260380177,7.9704114358,7.3821795167,7.0782161507,6.7964445447,6.7270774905,6.6609858947,6.4313817766,6.2655559899,6.2780761161,6.4907644433,6.9247387464,7.9463988924,8.1632948588,7.9394856006,8.7000412751,9.4996713085,9.0649928246,9.6325123677,9.9117457587,10.38631195,10.627170265,10.776441804,10.645092955,10.256562223,10.070885625,9.7552108607,9.3928373527,9.0107584051,8.5779291837,8.0721188411,7.8404500462,7.4444384711,6.9646765738,6.6358906984,6.3745296184,6.2769104836,5.9971881043,5.9154912041,5.9208859322,5.7848816311,5.7989030783,5.9465694335,6.0359815708,5.973536513,6.2591694984,6.6165616425,7.032474722,7.3829324874,7.6155762095,8.0791662495,8.578508507,8.7444805892,9.4535106572,10.34691896,11.027811437,11.939569156,12.602184404,13.59799252,14.285332125,15.019157628,15.1454238,15.318499806,15.161152724,15.031883706,15.027039877,14.354098159,14.090848637,13.89617753,13.588481024,13.415210414,13.259501616,12.876976334,12.459541531,11.958820277,11.599206904,10.995838359,11.341956882,11.706103307,11.480506347,10.972753801,10.709284115,11.021477432,12.233140518,12.178967215,9.91988104411354
2022,12.816771356,13.87971724,13.267638108,13.199785756,14.017416007,13.228128874,12.546401666,11.605330116,10.661243171,9.8130289274,9.1377497345,8.6554995948,8.166099163,7.7017567253,7.4073920857,7.0644644519,6.8749253474,6.8749253474,6.8749253474,6.8749253474,7.1910417888,7.8131093922,8.3577280785,9.8485141503,10.5905205,11.382104561,13.229363496,13.342492203,12.614766256,13.427982214,13.265575206,13.218400984,12.9832566,12.425035948,12.090806277,11.522183992,10.930133828,10.43559184,9.8858103246,9.5109081338,9.1327828597,8.8065973878,8.2783254259,7.996565925,7.6506078906,7.5043542771,7.533826232,7.2405356146,6.8268366122,6.7705132504,6.3896822681,6.3143045701,6.4441948079,6.7729456618,6.7207634814,6.8154899545,7.0426918775,7.5399389831,7.8292216853,8.0241253938,8.1548892646,7.9683220868,8.5526160043,8.9245012487,9.4585935187,10.038805375,10.706850724,11.472393731,11.959013237,12.978447127,14.315905435,14.801170082,15.199004418,15.259211041,15.1936429,15.218309412,15.035551552,14.95543875,14.317083506,13.834636858,13.759717506,13.257768432,12.979557188,12.923115862,12.540676221,12.140797352,11.671905987,10.948691654,11.184852548,11.34732302,11.314352948,10.666155047,10.527118904,10.615712869,12.158298694,12.215929179,10.530876187294792
2022,12.587137447,13.348341379,12.688667897,12.611309037,13.361628466,12.415243245,11.593638658,10.780221332,9.8119999063,8.9650216706,8.4598928142,7.9223545987,7.5910146147,7.2628399793,6.8379633832,6.6808879534,6.5237866872,6.3398485955,6.5422676693,7.0605083205,8.5614643289,9.0394550273,9.1182078701,9.2632797357,10.095038846,11.499842813,12.596106508,13.282353202,12.336097681,12.581625808,12.558507042,12.208040979,11.856565761,11.462768171,10.92305783,10.218492065,9.8027391971,9.3106713867,8.6215200914,8.0081196251,7.7566071529,7.2888189546,7.0577453767,6.7431234923,6.2632890572,5.9808165784,5.9758382454,5.9551714621,5.8560940484,5.6736615098,5.9446402592,6.2652805863,6.2771111685,6.5268977388,6.2359828887,6.3496962238,6.4827353621,6.7162608489,7.1695594398,7.3721173612,7.5624670231,7.6452489417,7.9429379035,8.5406745177,8.7819824569,8.9940342252,9.7934158373,10.771168238,11.402534141,12.86754231,13.984949061,14.459281782,15.153923795,15.104121411,14.925563152,15.073685248,14.783113904,14.320198863,14.279448741,14.004970544,13.678282334,13.447592809,13.169705924,12.640392393,12.636037719,12.399861523,12.283381936,11.756835451,11.928899031,12.176059713,11.90967905,11.637102528,11.128049586,11.443496572,12.80826042,12.811695795,10.113193440173955
2022,13.406515592,13.990422019,13.243434453,13.133326222,13.864823306,13.019851901,12.225676788,11.320954743,10.421355403,9.7441662007,9.0022988464,8.5653623007,8.1638642948,7.7277542925,7.4847977573,7.2867932541,7.1743492853,7.167606924,7.0962589303,7.2940590707,7.7729909501,8.2894756123,8.6911450847,9.3528842045,10.639631603,11.729492727,13.501656428,14.126171634,12.880489107,12.887614505,12.632535388,12.241367493,11.367766534,11.160535105,10.484427077,9.9849374337,9.3281282452,8.9447237122,8.5425283265,8.0418254251,7.5069396187,7.3115480861,6.8165815707,6.7406151795,6.4143233127,6.2896631005,6.1875381913,5.899048508,5.857697828,5.8041156024,5.7211514612,5.8047308712,5.6567371254,5.7857632848,5.8476772547,6.0607471033,6.3808933413,6.5836039157,6.779096761,6.9606089096,7.3218505499,7.4265761214,7.778405305,8.2011681757,8.6476889034,9.1275978353,9.6043004463,10.314379975,10.627962064,12.101211661,13.072361361,13.583425755,13.877479322,14.149640319,14.112356785,14.179708156,13.912702467,13.779935886,13.545002148,13.489885299,13.277914034,12.823891025,12.622510786,12.447910728,12.237892163,11.95616079,11.52371845,11.089773642,11.225000411,11.839741082,11.72747344,11.149022082,10.586158637,10.836160862,12.008493092,11.957648214,9.984439449772916
2022,12.504312393,13.286611202,12.636959218,12.645380983,13.316200363,12.420973458,11.535659382,10.883895538,9.9165180103,9.1916413872,8.4552600016,7.8375450022,7.4773482212,7.1307132285,6.7825204369,6.662350438,6.4498627587,6.4498627587,6.4498627587,6.4498627587,6.9331295188,7.562899053,8.0949758426,8.7018073732,9.9622110558,12.157766608,13.175729689,13.882285634,12.577158326,12.630742917,12.573563535,12.048048825,11.834647261,11.513651859,11.015893976,10.480083714,9.533972381,9.2034658522,8.7425497886,8.445605555,7.9126344892,7.6002853221,7.0483254168,6.6064883245,6.4133357629,6.2297579579,6.0166610162,6.2417794302,7.0490417027,6.8351680977,6.5453539379,5.8395185294,5.8744938066,6.4367570072,5.8801635871,6.0560030167,6.5562267432,6.9155454927,6.917611186,7.1207077357,7.3715657963,7.7389638767,8.3054483925,8.5453167371,8.9570063393,9.3288913434,9.6774646955,10.381714565,11.121320143,12.216846945,12.991630296,13.272392304,13.339503884,13.841421503,13.786080147,14.012582047,13.86633614,13.645854697,13.359052383,13.378953518,13.227988566,12.957220075,12.810904402,12.573343463,12.218013261,11.795242628,11.643222394,11.281682267,11.600954078,11.920248601,11.707847191,10.97204792,10.751096228,11.117446899,12.532562367,12.264029058,9.918349820577088
